UpdatedFEN,depth_1,depth_2,depth_3,depth_4,depth_5,depth_6,depth_7
r1b1kb1r/1pqpnppp/p1n1p3/8/2BNP3/P1N5/1PP2PPP/R1BQK2R w KQkq - 1 8,52,154,2907,7076,105667,414944,4104150
rnb1r1k1/pp1p1ppp/1q1Npn2/8/4P3/B1P2P2/P1P3PP/R2QKB1R b KQ - 6 10,35,167,1298,4656,35505,148176,1131276
r1b2rk1/ppp2ppp/8/1B1p4/3bn3/5N2/PPP2qPP/RNBQR2K b - - 1 12,46,177,2451,10794,99114,309207,3727124
r2q1rk1/ppp1nppp/3b4/1B6/3QP3/2N2P2/PPP2P1P/R1B2RK1 b - - 0 10,32,65,993,1975,19397,41886,287972
r1bqkb1r/1p1npp1p/p2p1np1/6B1/2PN4/3BP3/PP3PPP/RN1QK2R b KQkq - 0 8,26,104,1214,4881,41260,349936,1439767
r2q1rk1/pb3ppp/1p2p3/3n4/8/PnN1PN2/1P1Q1PPP/1BR1K2R w K - 2 14,40,116,1540,7747,71971,216451,1783765
r1bqk2r/pp1np1bp/2p5/3pNp2/3P1B2/4P3/PPP2PPP/R2QK2R w KQkq - 0 11,40,102,1529,3517,51839,122755,1870889
2kr1b1r/pppb1p1p/1q6/4p3/1P1P4/4BN2/5PPP/R2QKB1R b KQ - 0 16,40,124,2163,7620,86656,208689,2795509
r2qkbnr/1p2pppp/p1n5/4N3/2BP4/8/PP3PPP/RNBb1RK1 w kq - 0 9,38,107,1366,4270,34438,88659,960398
rnb1k2r/bpqp1pp1/p3p3/7p/4P1n1/1NNB3P/PPP1QPP1/R1B2R1K b kq - 2 11,44,157,1688,7390,79923,339378,3071516
r2qk1nr/p1pbb1pp/4p3/2p2P2/2p5/8/PPP1Q1PP/RNB2RK1 w kq - 0 14,40,134,2173,3730,71583,155959,2324774
1r1q1rk1/pb3pbp/1p2nnp1/1Npp4/2P5/PP3NP1/1B3PBP/Q1RR2K1 w - - 0 21,38,252,2542,9525,103007,331109,3422468
r2qkbnr/pp1np2p/2p2p2/3p1p2/3P1B2/4P3/PPPN1PPP/R2QKB1R w KQkq - 0 8,40,165,2020,7636,98477,253868,3105657
r2qkb1r/1pp2ppp/p5P1/4n3/3p4/6N1/PPP1PP1P/R2QKBNR b KQkq - 0 12,40,206,1276,4942,44738,191546,1607613
rb3rk1/5ppp/p1pqbn2/2Np4/1P2p3/P3P2P/1B1PBPP1/2RQ1RK1 b - - 0 18,32,134,1205,6351,50186,250019,1722735
r1bqk1nr/1p3ppp/p3p3/4P3/1b1Pp3/2N5/PP4PP/R1BQKB1R w KQkq - 0 10,33,197,796,4903,20145,335355,548221
r3kb1r/1p3ppp/p1n5/2p1q3/B3P1n1/2NP4/PP2N1PP/R1BQ1RK1 b kq - 1 13,43,152,798,4639,21629,133227,649431
r2k1bnr/p1pp1Bpp/1p6/4N1q1/3p4/2P5/PP2QPbP/RN2K2R w KQ - 0 11,44,134,2185,11892,90944,739761,4805481
r2q1rk1/pp1b1pp1/2n1p1n1/2b1P1NQ/3p4/P7/1P3PPP/RNB2RK1 w - - 4 14,35,174,1825,9153,66521,428053,2536047
r1bqk2r/pp5p/3b1p2/3pNn2/4p3/2N5/PPP2PPP/R2QKB1R w KQkq - 0 12,45,163,2174,5943,77349,270251,2807437
r1b2rk1/pp3ppp/2p1pn2/8/2P5/n5Q1/PP1BN1PP/KR3B1R b - - 0 22,26,92,980,3228,20644,111737,511856
r2q1rk1/4bppp/p3bn2/1p2N3/5B2/2N5/PP3PPP/R2QR1K1 w - - 2 20,54,215,3661,12766,120696,361607,7289925
rnb1k1nB/ppp2p1p/8/8/7q/1P3pP1/P1PPP3/RN1QKB1R b KQq - 0 9,45,108,1430,3233,36773,87424,834424
r1bq1rk1/pp1p1ppp/4pn2/4n3/2B5/2B5/PPP2PPP/R2QK1NR w KQ - 0 10,44,109,1574,3639,63005,126662,1914436
r1bq1rk1/pp1nb2p/4ppp1/3pP2Q/2pP4/2P1P3/PPBN2PP/R1B2RK1 w - - 0 13,45,169,1832,4839,51325,134339,1248126
r1b1kbnr/p1ppqppp/8/1p2P3/1n2Q3/5N2/PPP1PPPP/RNB1KB1R b KQkq - 5 8,33,149,1433,8627,42571,239302,1275111
r2qk2r/ppp2pp1/2p2n2/7p/3bP1b1/2N3QP/PPP2PP1/R1B1KB1R b KQkq - 0 9,44,89,1868,3400,55190,109037,1582846
r3kb1r/ppp2ppp/8/2p1Pb2/3Pn2q/3B1P2/PPP1K1PP/RNBQ3R b kq - 2 9,49,134,2110,6351,102378,361321,3384840
rn1q1rk1/1bpppBbp/1p4pn/6N1/p3P3/2PP3Q/PP3PPP/RNB1K2R b KQ - 0 9,4,43,322,3414,17155,172171,688239
r1b2rk1/pp3pp1/3b3p/3Bn3/P4q2/2P4P/1P2NPP1/RN1Q1RK1 b - - 2 17,48,271,2726,14241,113110,349356,4803604
