UpdatedFEN,depth_0,depth_1,depth_2,depth_3,depth_4,depth_5
r2qkbnr/1p2pppp/p1n5/4N3/2BP4/8/PP3PPP/RNBb1RK1 w kq - 0 9,1,37,1309,47653,1703155,61104361
rnb1k2r/bpqp1pp1/p3p3/7p/4P1n1/1NNB3P/PPP1QPP1/R1B2R1K b kq - 2 11,1,43,1467,60695,2180193,87428705
r2qk1nr/p1pbb1pp/4p3/2p2P2/2p5/8/PPP1Q1PP/RNB2RK1 w kq - 0 14,1,39,1013,39986,1122020,44171993
1r1q1rk1/pb3pbp/1p2nnp1/1Npp4/2P5/PP3NP1/1B3PBP/Q1RR2K1 w - - 0 21,1,37,1187,45269,1559508,60737916
r2qkbnr/pp1np2p/2p2p2/3p1p2/3P1B2/4P3/PPPN1PPP/R2QKB1R w KQkq - 0 8,1,39,924,35805,906884,34828639
r2qkb1r/1pp2ppp/p5P1/4n3/3p4/6N1/PPP1PP1P/R2QKBNR b KQkq - 0 12,1,39,1038,39246,1134937,42435889
rb3rk1/5ppp/p1pqbn2/2Np4/1P2p3/P3P2P/1B1PBPP1/2RQ1RK1 b - - 0 18,1,31,1193,40009,1527162,53701222
r1bqk1nr/1p3ppp/p3p3/4P3/1b1Pp3/2N5/PP4PP/R1BQKB1R w KQkq - 0 10,1,32,1116,37025,1263291,44142716
r3kb1r/1p3ppp/p1n5/2p1q3/B3P1n1/2NP4/PP2N1PP/R1BQ1RK1 b kq - 1 13,1,42,1406,57058,2030182,81935691
r2k1bnr/p1pp1Bpp/1p6/4N1q1/3p4/2P5/PP2QPbP/RN2K2R w KQ - 0 11,1,43,1919,76538,3295583,128697874
r2q1rk1/pp1b1pp1/2n1p1n1/2b1P1NQ/3p4/P7/1P3PPP/RNB2RK1 w - - 4 14,1,34,1166,40574,1402992,49625836
r1bqk2r/pp5p/3b1p2/3pNn2/4p3/2N5/PPP2PPP/R2QKB1R w KQkq - 0 12,1,44,1587,66437,2458442,99783875
r1b2rk1/pp3ppp/2p1pn2/8/2P5/n5Q1/PP1BN1PP/KR3B1R b - - 0 22,1,25,1024,25957,1004498,26269198
r2q1rk1/4bppp/p3bn2/1p2N3/5B2/2N5/PP3PPP/R2QR1K1 w - - 2 20,1,53,2217,112932,4722542,234584784
rnb1k1nB/ppp2p1p/8/8/7q/1P3pP1/P1PPP3/RN1QKB1R b KQq - 0 9,1,44,1138,46290,1270250,49445088
r1bq1rk1/pp1p1ppp/4pn2/4n3/2B5/2B5/PPP2PPP/R2QK1NR w KQ - 0 10,1,43,1239,48793,1474361,58163789
r1bq1rk1/pp1nb2p/4ppp1/3pP2Q/2pP4/2P1P3/PPBN2PP/R1B2RK1 w - - 0 13,1,44,1144,47681,1315972,52759670
r1b1kbnr/p1ppqppp/8/1p2P3/1n2Q3/5N2/PPP1PPPP/RNB1KB1R b KQkq - 5 8,1,32,1262,42670,1653403,57823851
r2qk2r/ppp2pp1/2p2n2/7p/3bP1b1/2N3QP/PPP2PP1/R1B1KB1R b KQkq - 0 9,1,43,1615,67413,2578024,106512666
r3kb1r/ppp2ppp/8/2p1Pb2/3Pn2q/3B1P2/PPP1K1PP/RNBQ3R b kq - 2 9,1,48,1551,69597,2266743,98495226
rn1q1rk1/1bpppBbp/1p4pn/6N1/p3P3/2PP3Q/PP3PPP/RNB1K2R b KQ - 0 9,1,3,115,3900,146384,5023414
r1b2rk1/pp3pp1/3b3p/3Bn3/P4q2/2P4P/1P2NPP1/RN1Q1RK1 b - - 2 17,1,47,1519,67733,2280504,101379693
